plate 1,Well,Series,Hydrogel,Stiffness (kPa),,,,plate 2,Well,Series,Hydrogel,Stiffness (kPa)
,A1,1,MG-gel,N/A,,,,,A1,1,3.5L ,4
,A2,2,MG-gel,N/A,,,,,A2,2,3.5L ,4
,A3,3,MG-gel,N/A,,,,,A3,3,3.5L ,4
,A4,4,GT,N/A,,,,,A4,4,7C-3Y ,4
,A5,5,GT,N/A,,,,,A5,5,7C-3Y ,4
,A6,6,GT,N/A,,,,,A6,6,7C-3Y ,4
,A7,7,MG-CT,N/A,,,,,A7,7,3.5C-3Y ,4
,A8,8,MG-CT,N/A,,,,,A8,8,3.5C-3Y ,4
,A9,9,MG-CT,N/A,,,,,A9,9,3.5C-3Y ,4
,A10,10,7C ,10,,,,,A10,10,7L ,2
,A11,11,7C ,10,,,,,A11,11,7L ,2
,A12,12,7C ,10,,,,,A12,12,7L ,2
,B12,13,3.5C-3Y ,6,,,,,B12,13,7C ,2
,B11,14,3.5C-3Y ,6,,,,,B11,14,7C ,2
,B10,15,3.5C-3Y ,6,,,,,B10,15,7C ,2
,B9,16,7L-1.5I ,6,,,,,B9,16,3.5L ,2
,B8,17,7L-1.5I ,6,,,,,B8,17,3.5L ,2
,B7,18,7L-1.5I ,6,,,,,B7,18,3.5L ,2
,B6,19,7C-3I ,10,,,,,B6,19,7L-1.5I ,2
,B5,20,7C-3I ,10,,,,,B5,20,7L-1.5I ,2
,B4,21,7C-3I ,10,,,,,B4,21,7L-1.5I ,2
,B3,22,7C-1.5I ,10,,,,,B3,22,3.5C ,2
,B2,23,7C-1.5I ,10,,,,,B2,23,3.5C ,2
,B1,24,7C-1.5I ,10,,,,,B1,24,3.5C ,2
,C1,25,7L-3Y ,6,,,,,C1,25,7C-3Y ,2
,C2,26,7L-3Y ,6,,,,,C2,26,7C-3Y ,2
,C3,27,7L-3Y ,6,,,,,C3,27,7C-3Y ,2
,C4,28,7C-3Y ,6,,,,,C4,28,7C-3Y ,0.5
,C5,29,7C-3Y ,6,,,,,C5,29,7C-3Y ,0.5
,C6,30,7C-3Y ,6,,,,,C6,30,7C-3Y ,0.5
,C7,31,7C-1.5I ,6,,,,,C7,31,7L ,0.5
,C8,32,7C-1.5I ,6,,,,,C8,32,7L ,0.5
,C9,33,7C-1.5I ,6,,,,,C9,33,7L ,0.5
,C10,34,3.5C-1.5Y ,6,,,,,C10,34,3.5C ,0.5
,C11,35,3.5C-1.5Y ,6,,,,,C11,35,3.5C ,0.5
,C12,36,3.5C-1.5Y ,6,,,,,C12,36,3.5C ,0.5
,D9,37,3.5C-3I ,4,,,,,D9,37,7C-3I ,0.5
,D8,38,3.5C-3I ,4,,,,,D8,38,7C-3I ,0.5
,D7,39,3.5C-3I ,4,,,,,D7,39,7C-3I ,0.5
,D6,40,3.5C ,4,,,,,D6,40,3.5C-1.5Y ,0.5
,D5,41,3.5C ,4,,,,,D5,41,3.5C-1.5Y ,0.5
,D4,42,3.5C ,4,,,,,D4,42,3.5C-1.5Y ,0.5
,D3,43,3.5L-3Y ,4,,,,,D3,43,7L-1.5I ,0.5
,D2,44,3.5L-3Y ,4,,,,,D2,44,7L-1.5I ,0.5
,D1,45,3.5L-3Y ,4,,,,,D1,45,7L-1.5I ,0.5
